"OBJECTID","RISK_NO","RISKCATEGORY","COMPONENT","DISCIPLINE","RISK_OPPORTUNITY_EVENT","CONCERNS","PDT_DISC_CONC","PDT_DISC_LIKELI_IMPACT","PDT_DISC_RISK_MANAG_STRATEGY","ACTION_ITEMS","RISK_STRATEGY","COST_LIKELIHOOD","COST_IMPACT","CONDITIONAL_FORMATTING","CONDITIONAL_FORMATTING2","COST_RISK","COST_IMPACT_PER_PROJECT","SCHEDULE_LIKELIHOOD","SCHEDULE_IMPACT","SCHEDULE_RISK","SCHEDULE_IMPACT_PER_PROJECT","CORRELATION_TO_OTHER_RISKS","RESPONSIBLE_POC","POC_REVIEW_DATE","TIMING_OF_DELAY","LESSONS_LEARNED","START_DATE","END_DATE","FK_TABLE_ID","ENG_LEVEL","LEVEL_DATE"
667,"TR-9a","TECHNICAL RISKS","Acoustic Fish Deterrent","","Acoustic Barrier R&D","Size & Number of Speaker Array","As the number of speakers increase, so will the construction and maintenance cost. Strive for modular design; redundancy","initial indication is the number of speakers can be reduced;","Continued R&D; re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Low","$0-$2.5 Million","Unlikely","Negligible","Low","0-4.8 months","","Christa Woodley",,"Both","",,,"TR-9a","Level 1 - PDT",19-JUL-21 01.32.33.000000000 PM
670,"TR-9c","TECHNICAL RISKS","Acoustic Fish Deterrent","","Acoustic Barrier R&D","Noise on barges","Acoustic barrier can potentially resonate in the empty barges due to hollow hulls creating nuisance.","Could interfere with communications between deckhands and captains; empty barges becoming an amplifier of the sound; may lose efficacy of deterrent system if volume levels must be lowered; impacts to public use of the adjacent area","Continued R&D; collect data; evaluate affects on actual navigation vessels at Lock 19;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Low","$0-$2.5 Million","Unlikely","Negligible","Low","0-4.8 months","","Christa Woodley",,"Both","",,,"TR-9c","Level 1 - PDT",19-JUL-21 01.32.36.000000000 PM
671,"TR-9d","TECHNICAL RISKS","Acoustic Fish Deterrent","","Acoustic Barrier R&D","Single source for speakers, sole proprietor","Single source production rate is very limited; sole source procurement required;","If we need to change to another source there will be an impact to design when it comes to housing size, channel layout/recesses etc.; pulse acoustic technologies;","conduct a sources sought of other speakers; development salient characteristics specifications;  laboratory testing of other systems; sources sought on salient conditions desired","Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Unlikely","Negligible","Green","Red","Low","$0-$2.5 Million","Very Likely","Critical","High","19.2-38.4 months","","Christa Woodley",,"Both","",,,"TR-9d","Level 1 - PDT",19-JUL-21 01.32.37.000000000 PM
673,"TR-9g","TECHNICAL RISKS","Acoustic Fish Deterrent","","Acoustic Barrier R&D","Interaction with Bubble Curtain","Don't know the effects air bubbles will have on sound","acoustic barrier performance may be diminished by bubble curtain;. Air normally effects sound propagation in water; two technologies combined have not included fish response; operational cost of air compressors at L19 in conjunction with acoustic testing","Testing at Lock 19 with air bubble curtain on can be done to collect data; look at other sites testing bubble curtains (Barkley, Peoria); look at funding OD for additional air compressor costs at testing sites","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Low","$0-$2.5 Million","Unlikely","Negligible","Low","0-4.8 months","","Christa Woodley",,"Both","",,,"TR-9g","Level 1 - PDT",19-JUL-21 01.32.39.000000000 PM
674,"TR-9f","TECHNICAL RISKS","Acoustic Fish Deterrent","","Acoustic Performance over time","Operability, maintainability, sustainability","Acoustic system has not been tested for 25 or 50 yr. operation","Unknown until measured; increased maintenance and/or repair/replacement","Test speakers for an extended period of time;  measure the success (durability and any degradation) at Locks 19 & 6;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Low","$0-$2.5 Million","Unlikely","Negligible","Low","0-4.8 months","","Christa Woodley",,"Both","",,,"TR-9f","Level 1 - PDT",19-JUL-21 01.32.40.000000000 PM
1619,"RE-1","REAL ESTATE","Administrative","","Land Acquisition","Right descending bank may not be available for use","","","","Start pre-engineering for the LDB and RDB; Continue communication with Illinois.","Accept & Mitigate","Likely","Critical","Red","Orange","High","$56-$120 Million","Unlikely","Critical","Moderate","19.2-38.4 months","TR-6F:TR-6H:TR-11:EN-1","Andy Liechty",,"Prior/During Construction","",,,"RE-1","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
1617,"REGEN-1","REGULATORY AND ENVIRONMENTAL RISKS","Engineering Channel","","Flood Way Permit","Non-navigational wall is not an appropriate floodway use and there is not enough room on the peninsula to add the fill material without impacting the floodway","","","","continue H&H","Accept & Mitigate","Likely","Marginal","Orange","Orange","Moderate","$4-$24 Million","Likely","Marginal","Moderate","4.8-9.6 months","","Kirk Sunderman",,"Prior to Construction","",,,"REGEN-1","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
668,"TR-9b","TECHNICAL RISKS","Acoustic Fish Deterrent","","Acoustic Barrier R&D","Ambient noise","Ambient noise could interfere with surroundings","ambient noise that affects community and navigation; impacts to public use of the adjacent area","Continued R&D; re-evaluate BR acoustics cross walked with data collected at Lock 19 for improvements; evaluate similarities between channel depths (Lock 19 & Brandon Road); evaluate affects on actual navigation vessels at Lock 19;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","Christa Woodley",,"Both","",,,"TR-9b","Level 1 - PDT",19-JUL-21 01.32.34.000000000 PM
996,"TR-9","TECHNICAL RISKS","Acoustic Fish Deterrent","","Acoustic Barrier R&D","Efficacy of Acoustics","Limited systems are being tested. One system is patented so we do not have the ability to test. Do we have the right system? Are fish responsive to the systems being tested in the field? We need to maintain at appropriate levels that do not disrupt navigation and local residence. Is it sustainable?","If it's not affective, may need to abandon concept for another deterrent system; R&D will take several years to reach conclusions; durability; sediment","Continued R&D; MVR support of testing at L&D 19 test site","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Low","$0-$2.5 Million","Unlikely","Negligible","Low","0-4.8 months","","Christa Woodley",,"Both","",,,"TR-9","Level 1 - PDT",19-JUL-21 01.32.32.000000000 PM
997,"TR-9h","TECHNICAL RISKS","Acoustic Fish Deterrent","","Acoustic Barrier R&D","Ambient Noise","Ambient noise of the bridge could interfere with the acoustic deterrent","Bridge sounds overlapping with acoustic deterrent;","ERDC is aware of the risk; Conduct additional sound testing at Brandon Road.","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Low","$0-$2.5 Million","Unlikely","Negligible","Low","0-4.8 months","","Christa Woodley",,"Both","",,,"TR-9h","Level 1 - PDT",19-JUL-21 01.32.35.000000000 PM
998,"TR-9e","TECHNICAL RISKS","Acoustic Fish Deterrent","","Acoustic Barrier R&D","Interaction with electrical barrier","We don't know what the effects the electric barrier or stray current will have on the speakers and their operation","May need a different speaker manufacturer, different sound systems may be needed. There are concerns with stray currents frying the acoustic speakers;","Test spare speakers in existing barrier to see impacts; collect field data on acoustics when they close the electric current; continued R&D;","Finish R&D, Design Charrettes, and preliminary design","Accept","Unlikely","Negligible","Green","Green","Low","$0-$2.5 Million","Unlikely","Negligible","Low","0-4.8 months","","Christa Woodley",,"Both","",,,"TR-9e","Level 1 - PDT",19-JUL-21 01.32.38.000000000 PM
1605,"PPM-2","PROJECT & PROGRAM MGMT","Administrative","","Funding Availability","Lack of efficient funding in PED could delay design","","","","","Accept & Transfer","Likely","Marginal","Orange","Green","Moderate","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","CA-1","Andy Leichty",,"Prior to Construction","",,,"PPM-2","Level 1 - PDT",02-SEP-21 12.00.00.000000000 AM
1611,"TR-6e","TECHNICAL RISKS","Engineering Channel","","Engineered Channel","Navigation delays during operations","","","","Finish R&D, Design Charrettes, and preliminary design","Transfer","Unlikely","Significant","Orange","Green","Moderate","$24-$56 Million","Unlikely","Marginal","Low","4.8-9.6 months","","Fred Joers",,"Prior/During Construction","",,,"TR-6e","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
1612,"TR-6g","TECHNICAL RISKS","Engineering Channel","","Engineered Channel","Navigation delays during construction","","","","Finish R&D, Design Charrettes, and preliminary design","Accept & Mitigate","Likely","Marginal","Orange","Red","Moderate","$4-$24 Million","Likely","Significant","High","9.6-19.2 months","TR-6e","John Behrens",,"Prior to Construction","",,,"TR-6g","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
1614,"TR-8","TECHNICAL RISKS","All","","Technology Effectiveness","There may be problems with achieving the desired effectiveness of the entire ANS control system.","","","","Finish R&D, Design Charrettes, and preliminary design, manage during adaptive management phase","Accept & Mitigate","Likely","Marginal","Orange","Green","Moderate","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","","Mark Cornish",,"Prior/During Construction","",,,"TR-8","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
1620,"RE-2","REAL ESTATE","Administrative","","Land Acquisition","If required land rights are not provided by a willing seller, condemnation and/or quit take authority could take longer to accomplish than the scope and schedule of this project may allow.","","","","Sponsor continues negotiations","Accept & Mitigate","Unlikely","Negligible","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","Andrew Shelton/Bob Spencer",,"Prior to Construction","",,,"RE-2","Level 1 - PDT",29-JUL-21 12.00.00.000000000 AM
1618,"EN-1","ENVIRONMENT","Administrative","","A Phase II Environmental Site Investigation of the site is required and could not be obtained during the feasibility study.","The assumption made during the feasibility study was the site could be used for construction with some remediation. Environmental site investigation may result in unusable site or high cost.","","","","","Accept & Mitigate","Unlikely","Critical","Orange","Orange","Moderate","$56-$120 Million","Unlikely","Critical","Moderate","19.2-38.4 months","TR-6H:TR-11","Steve Gustafson",,"Prior/During Construction","",,,"EN-1","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
1610,"CA-5","CONTRACT ACQUISITION RISKS","Administrative","","AE Design Contract","AE would not have capacity or execute in time","","","","","Accept & Mitigate","Unlikely","Negligible","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","Kirk Sunderman",,"Prior to Construction","",,,"CA-5","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
1609,"CA-4","CONTRACT ACQUISITION RISKS","Administrative","","Contract Type","The type of contract, Design/Build or Design/Bid/Build, can affect timeline and cost.","","","","","Accept","Unlikely","Significant","Orange","Green","Moderate","$24-$56 Million","Unlikely","Negligible","Low","0-4.8 months","","Andy Leichty",,"Prior to Construction","",,,"CA-4","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
1608,"CA-3","CONTRACT ACQUISITION RISKS","Administrative","","Multiple Contracts","Larger contracts may be broken into multiple contracts.","","","","","Accept","Likely","Crisis","Red","Red","High","$120 Million +","Very Likely","Critical","High","19.2-38.4 months","","Andy Leichty",,"Prior/During Construction","",,,"CA-3","Level 5 - HQUSACE",22-JUL-21 12.00.00.000000000 AM
1606,"CA-2","CONTRACT ACQUISITION RISKS","Administrative","","Deliverability","Systems need to be packaged to meet their intended functions and warranties can be enforced.","","","","","Accept & Mitigate","Likely","Marginal","Orange","Green","Moderate","$4-$24 Million","Very Unlikely","Negligible","Low","0-4.8 months","","Kirk Sunderman",,"Prior to Construction","",,,"CA-2","Level 1 - PDT",03-SEP-21 12.00.00.000000000 AM
1604,"CA-1","CONTRACT ACQUISITION RISKS","Administrative","","Acquisition Strategy","All contracts are assumed to be unrestricted (full and open). If this assumption is incorrect, costs will be higher.","","","","","Accept & Mitigate","Unlikely","Significant","Orange","Green","Moderate","$24-$56 Million","Very Unlikely","Marginal","Low","4.8-9.6 months","","Andy Leichty",,"Prior to Construction","",,,"CA-1","Level 1 - PDT",02-SEP-21 03.05.57.000000000 PM
1603,"PPM-1","PROJECT & PROGRAM MGMT","Administrative","","Signing of a PPA","Illinois has concerns with the current PPA template. Concerns that the PPA can't be negotiated and can't be negotiated on time.","","","","7/30 Elevating the issue to HQ","Accept","Likely","Marginal","Orange","Red","Moderate","$4-$24 Million","Very Likely","Critical","High","19.2-38.4 months","","Andy Leichty",,"Prior to Construction","",,,"PPM-1","Level 5 - HQUSACE",02-SEP-21 03.02.24.000000000 PM
1616,"REGEN-2","REGULATORY AND ENVIRONMENTAL RISKS","Acoustic Fish Deterrent","","Noise Permitting","The acoustic barrier may make noise that can be heard outside of the water.","","","","Continue R&D","Accept & Mitigate","Unlikely","Negligible","Green","Green","Low","$0-$4 Million","Unlikely","Negligible","Low","0-4.8 months","","Christa Woodley",,"Prior/During Construction","",,,"REGEN-2","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
1615,"TR-10","TECHNICAL RISKS","All","","Control Systems","Software engineering may be required to operate all systems under the same controls at the lock house.","","","","Complete Design Charette","Accept & Mitigate","Likely","Marginal","Orange","Green","Moderate","$4-$24 Million","Unlikely","Negligible","Low","0-4.8 months","TR-6H","Kent Rockow",,"Prior to Construction","",,,"TR-10","Level 1 - PDT",22-JUL-21 12.00.00.000000000 AM
678,"TR-17","TECHNICAL RISKS","Flushing Lock","","Operation of Flushing Lock in Combination with Hydro Power Study","Balance of water between hydro power and flushing lock may be difficult.","USACE controls the water supply and would govern availbility to any developed hydropower ventures","under USACE control - no impact","Establish water usage agreements","","Accept","Very Unlikely","Negligible","Green","Green","Low","$0-$4 Million","Very Unlikely","Negligible","Low","0-4.8 months","","Jim Bartek",,"Both","",,,"TR-17","Level 1 - PDT",19-JUL-21 01.32.42.000000000 PM
1002,"TR-19","TECHNICAL RISKS","All","","Sequence of Navigation Operations","What are we designing towards?  Operations of barriers, time of flushing, etc.…  Need to establish a baseline to measure against 15 min delay time was a study assumption. The time may not be accurate and the barriers may not be as effective as in the feasbility report.","15 min flushing time was a study assumption, is that a correct assumption, use Johnna's slides of lockage sequencing, how much buy back can we realize in times savings, total transit time, need the baseline to measure, what does this mean for the next boat up if stacked up at Lockport or downstream, how does it relate to the LPMS data over a period of time, negligible, slight, large impact?  do queuing for barges to mitigate time, are we designing to time deck hand has to walk to front of boat?  What are specific design parameters we are looking to address?","Need baseline information to establish what impacts or differences the project will have","Collect AISP or time stamped interval tracking of vessels to establish a baseline so that we can then determine our impacts.","Finish AIS","Accept & Transfer","Likely","Negligible","Green","Green","Low","$0-$4 Million","Likely","Negligible","Low","0-4.8 months","Flushing lock","John Behrens",,"Neither","",,,"TR-19","Level 1 - PDT",19-JUL-21 01.32.46.000000000 PM
1003,"TR-20","TECHNICAL RISKS","Entrainment Deterrent","","Entrainment Deterrent","Concern that bubbles could effect maneuverability of barges and it doesn't remove the fish, have not determined best layout pattern which would effect future work,  don't have design parameters, taking concept to implementation, never been done before, how does this interact with other technologies","research scheduled for FY22, provide best design we can now but may need to modify, What kind of flexibility can be designed in the feature to allow for adaptive management? Define design parimeters.","will impact schedule of design, air bubble curtain is in Risk Increment I","Continue R&D, Peoria lock demo Fall/Winter FY22, test barge maneuverability transiting air bubble curtain/field. Defer testing and go to full design implementation at Brandon Road to execute the testing.","Finish R&D, Design Charrettes, and preliminary design","Accept & Transfer","Very Unlikely","Negligible","Green","Green","Low","$0-$4 Million","Very Unlikely","Negligible","Low","0-4.8 months","","Mark Cornish",,"Both","",,,"TR-20","Level 1 - PDT",19-JUL-21 01.32.47.000000000 PM
